PID;USER;PR;NI;VIRT;RES;SHR;S;%CPU;%MEM;TIME+;COMMAND
7597;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[xfs-conv/dm-2]
7598;root;0;-20;0;0;0;S;0.0;0.0;0:00.98;[xfs-cil/dm-2]
7599;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[xfs-reclaim/dm-]
7600;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[xfs-log/dm-2]
7601;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[xfs-eofblocks/d]
7602;root;20;0;0;0;0;S;0.0;0.0;375:56.79;[xfsaild/dm-2]
7625;root;16;-4;55524;300;192;S;0.0;0.0;105:18.88;/sbin/auditd
7648;root;20;0;21664;420;264;S;0.0;0.0;99:37.20;/usr/sbin/irqbalance --foreground
7653;root;20;0;99680;0;0;S;0.0;0.0;0:00.03;/usr/bin/VGAuthService -s
7656;root;20;0;228280;452;448;S;0.0;0.0;0:00.15;/usr/sbin/abrtd -d -s
7658;root;20;0;225728;136;100;S;0.0;0.0;86:06.47;/usr/bin/abrt-watch-log -F BUG: WARNING: at WARNING: CPU: INFO: possible recursive locking dete+
7659;polkitd;20;0;716672;2076;1092;S;0.0;0.0;401:24.92;/usr/lib/polkit-1/polkitd --no-debug
7660;root;20;0;300836;1560;1200;S;0.0;0.0;1060:12;/usr/bin/vmtoolsd
7667;root;20;0;26744;1128;820;S;0.0;0.0;573:17.35;/usr/lib/systemd/systemd-logind
7668;dbus;20;0;67008;1412;700;S;0.0;0.0;1992:40;/usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
7700;root;20;0;473824;1764;1032;S;0.0;0.0;152:25.31;/usr/sbin/NetworkManager --no-daemon
7723;root;20;0;126320;984;544;S;0.0;0.0;14:35.13;/usr/sbin/crond -n
7727;root;20;0;110104;28;24;S;0.0;0.0;0:00.01;/sbin/agetty --noclear tty1 linux
7750;root;0;-20;0;0;0;S;0.0;0.0;11:36.35;[kworker/6:1H]
8039;upm;20;0;347164;10400;2028;S;0.0;0.0;2601:01;/usr/local/bin/monit -I
8042;root;20;0;112864;400;292;S;0.0;0.0;72:13.50;/usr/sbin/sshd -D
8049;root;20;0;573944;948;440;S;0.0;0.0;159:56.42;/usr/bin/python2 -Es /usr/sbin/tuned -l -P
8056;elastic+;30;10;1406384;5492;1596;S;0.0;0.0;536:52.65;/app1/apps/elasticsearch-exporter/bin/elasticsearch_exporter --es.all --es.indices --es.uri=htt+
8622;root;20;0;90308;276;196;S;0.0;0.0;22:57.17;/usr/libexec/postfix/master -w
8624;postfix;20;0;90588;548;396;S;0.0;0.0;4:46.31;qmgr -l -t unix -u
8898;root;0;-20;0;0;0;S;0.0;0.0;11:12.70;[kworker/1:1H]
9168;root;0;-20;0;0;0;S;0.0;0.0;11:14.18;[kworker/4:1H]
9194;root;0;-20;0;0;0;S;0.0;0.0;11:20.41;[kworker/2:1H]
9203;root;0;-20;0;0;0;S;0.0;0.0;13:31.65;[kworker/7:1H]
9208;root;0;-20;0;0;0;S;0.0;0.0;11:29.49;[kworker/5:1H]
9209;root;0;-20;0;0;0;S;0.0;0.0;11:18.58;[kworker/11:1H]
9216;root;0;-20;0;0;0;S;0.0;0.0;10:50.29;[kworker/9:1H]
9226;root;0;-20;0;0;0;S;0.0;0.0;10:58.31;[kworker/10:1H]
9626;root;20;0;0;0;0;S;0.0;0.0;0:00.00;[kworker/3:1]
10923;root;20;0;158860;5788;4428;S;0.0;0.0;0:00.26;sshd: eventum [priv]
10948;eventum;20;0;158860;2484;1108;S;0.0;0.0;0:00.01;sshd: eventum@notty
10951;eventum;20;0;72200;2884;2112;S;0.0;0.0;0:00.02;/usr/libexec/openssh/sftp-server
11998;root;20;0;0;0;0;S;0.0;0.0;0:00.09;[kworker/10:2]
13152;root;20;0;0;0;0;S;0.0;0.0;0:02.17;[kworker/u25:2]
13245;root;20;0;0;0;0;S;0.0;0.0;0:00.09;[kworker/4:2]
14490;root;20;0;0;0;0;S;0.0;0.0;0:00.00;[kworker/2:1]
14565;root;20;0;0;0;0;S;0.0;0.0;0:00.09;[kworker/1:2]
16517;root;20;0;0;0;0;S;0.0;0.0;0:00.09;[kworker/2:3]
16576;root;20;0;0;0;0;S;0.0;0.0;0:00.07;[kworker/0:0]
18626;root;20;0;0;0;0;S;0.0;0.0;0:00.45;[kworker/5:1]
18671;root;20;0;0;0;0;S;0.0;0.0;0:00.00;[kworker/9:0]
19392;root;20;0;0;0;0;S;0.0;0.0;0:00.17;[kworker/10:1]
21301;root;20;0;0;0;0;S;0.0;0.0;0:00.13;[kworker/1:0]
21593;root;20;0;0;0;0;S;0.0;0.0;0:00.10;[kworker/u25:1]
22215;root;20;0;0;0;0;S;0.0;0.0;0:05.86;[kworker/u26:0]
22622;root;20;0;420748;24748;7264;S;0.0;0.0;37:46.11;/opt/fireeye/bin/xagt -M DAEMON
22761;root;20;0;0;0;0;S;0.0;0.0;0:01.29;[kworker/11:0]
22854;root;20;0;216788;1416;1148;S;0.0;0.0;0:10.81;/opt/fireeye/bin/xagt --mode ProRemSvc --iofd 3 --cmname 12 --log INFO --logfd 4
23753;root;20;0;0;0;0;S;0.0;0.0;0:00.17;[kworker/9:1]
23979;root;20;0;0;0;0;S;0.0;0.0;0:00.00;[kworker/11:2]
24761;spark;20;0;8937412;458792;7308;S;0.0;0.9;34:38.16;/app1/bin/jdk/jdk1.8.0_281/jre/bin/java -cp /app1/apps/spark-3.2.1/conf/:/app1/apps/spark-3.2.1+
25075;root;20;0;0;0;0;S;0.0;0.0;0:00.00;[kworker/6:2]
25829;spark;20;0;8110220;337264;7640;S;0.0;0.7;30:09.87;/app1/bin/jdk/jdk1.8.0_281/jre/bin/java -cp /app1/apps/spark-3.2.1/conf/:/app1/apps/spark-3.2.1+
25830;root;20;0;0;0;0;S;0.0;0.0;0:00.00;[kworker/7:2]
27419;root;20;0;0;0;0;S;0.0;0.0;0:00.00;[kworker/7:0]
27620;postfix;20;0;90412;4192;3100;S;0.0;0.0;0:00.03;pickup -l -t unix -u
27876;root;20;0;0;0;0;S;0.0;0.0;0:32.51;[kworker/u26:1]
28115;root;20;0;0;0;0;S;0.0;0.0;0:00.01;[kworker/8:0]
28520;root;20;0;0;0;0;S;0.0;0.0;0:00.05;[kworker/0:2]
29290;root;20;0;0;0;0;S;0.0;0.0;0:00.01;[kworker/7:1]
29690;root;20;0;0;0;0;S;0.0;0.0;0:00.00;[kworker/5:2]
30103;root;20;0;0;0;0;S;0.0;0.0;0:00.00;[kworker/8:2]
32255;root;20;0;0;0;0;S;0.0;0.0;0:00.00;[kworker/5:0]
32278;root;20;0;0;0;0;S;0.0;0.0;0:00.00;[kworker/8:1]
0;tarek;0;0;0;0;0;S;61;0.0;0:00.05;FreeCPU
