PID;USER;PR;NI;VIRT;RES;SHR;S;%CPU;%MEM;TIME+;COMMAND
31285;upm;20;0;4745548;832084;7476;S;0.1;1.6;784:43.89;/usr/bin/java -jar -Xms512m -Xmx512m -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/app1/app+
31291;upm;20;0;4016036;230512;5944;S;0.1;0.4;144:24.59;/usr/bin/java -jar -Xms512m -Xmx512m -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/app1/app+
31296;upm;20;0;5920828;429968;8080;S;0.1;0.8;297:17.16;/usr/bin/java -jar -Xms512m -Xmx512m -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/app1/app+
31306;upm;20;0;4502384;324436;7056;S;0.1;0.6;324:41.20;/usr/bin/java -jar -Xms512m -Xmx512m -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/app1/app+
31323;upm;20;0;3834632;313776;7448;S;0.1;0.6;234:41.16;/usr/bin/java -jar -Xms512m -Xmx512m -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/app1/app+
1;root;20;0;202436;4808;2556;S;0.0;0.0;2629:19;/usr/lib/systemd/systemd --switched-root --system --deserialize 22
10;root;20;0;0;0;0;S;0.0;0.0;2247:53;[rcu_sched]
7651;kibana;20;0;1681716;236944;5612;S;0.0;0.5;5895:18;/usr/share/kibana/bin/../node/bin/node /usr/share/kibana/bin/../src/cli -c /etc/kibana/kibana.y+
8260;redis;20;0;230752;57824;820;S;0.0;0.1;2544:53;/usr/bin/redis-server 192.168.45.66:6379
20755;root;20;0;233732;1876;980;S;0.0;0.0;445:39.62;/usr/sbin/snmpd -LS0-6d -f
23645;kafka;20;0;6786596;478308;6888;S;0.0;0.9;3261:01;java -Xmx512M -server -XX:+UseG1GC -XX:MaxGCPauseMillis=20 -XX:InitiatingHeapOccupancyPercent=3+
28484;kafka;20;0;6883192;404864;11220;S;0.0;0.8;16:19.99;java -Xmx512M -Xms512M -server -XX:+UseG1GC -XX:MaxGCPauseMillis=20 -XX:InitiatingHeapOccupancy+
2;root;20;0;0;0;0;S;0.0;0.0;5:36.19;[kthreadd]
3;root;20;0;0;0;0;S;0.0;0.0;21:32.67;[ksoftirqd/0]
5;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[kworker/0:0H]
6;root;20;0;0;0;0;S;0.0;0.0;0:00.00;[kworker/u24:0]
8;root;rt;0;0;0;0;S;0.0;0.0;44:39.10;[migration/0]
9;root;20;0;0;0;0;S;0.0;0.0;0:00.00;[rcu_bh]
11;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[lru-add-drain]
12;root;rt;0;0;0;0;S;0.0;0.0;3:55.23;[watchdog/0]
13;root;rt;0;0;0;0;S;0.0;0.0;6:22.36;[watchdog/1]
14;root;rt;0;0;0;0;S;0.0;0.0;50:03.13;[migration/1]
15;root;20;0;0;0;0;S;0.0;0.0;14:56.23;[ksoftirqd/1]
17;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[kworker/1:0H]
18;root;rt;0;0;0;0;S;0.0;0.0;5:36.43;[watchdog/2]
19;root;rt;0;0;0;0;S;0.0;0.0;49:01.96;[migration/2]
20;root;20;0;0;0;0;S;0.0;0.0;13:06.94;[ksoftirqd/2]
22;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[kworker/2:0H]
23;root;rt;0;0;0;0;S;0.0;0.0;5:09.73;[watchdog/3]
24;root;rt;0;0;0;0;S;0.0;0.0;48:12.23;[migration/3]
25;root;20;0;0;0;0;S;0.0;0.0;14:46.97;[ksoftirqd/3]
27;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[kworker/3:0H]
28;root;rt;0;0;0;0;S;0.0;0.0;5:06.69;[watchdog/4]
29;root;rt;0;0;0;0;S;0.0;0.0;48:03.16;[migration/4]
30;root;20;0;0;0;0;S;0.0;0.0;11:26.03;[ksoftirqd/4]
32;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[kworker/4:0H]
33;root;rt;0;0;0;0;S;0.0;0.0;5:14.43;[watchdog/5]
34;root;rt;0;0;0;0;S;0.0;0.0;47:59.44;[migration/5]
35;root;20;0;0;0;0;S;0.0;0.0;10:45.65;[ksoftirqd/5]
37;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[kworker/5:0H]
38;root;rt;0;0;0;0;S;0.0;0.0;6:49.71;[watchdog/6]
39;root;rt;0;0;0;0;S;0.0;0.0;49:36.17;[migration/6]
40;root;20;0;0;0;0;S;0.0;0.0;16:36.61;[ksoftirqd/6]
42;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[kworker/6:0H]
44;root;rt;0;0;0;0;S;0.0;0.0;7:33.90;[watchdog/7]
45;root;rt;0;0;0;0;S;0.0;0.0;51:31.16;[migration/7]
46;root;20;0;0;0;0;S;0.0;0.0;16:58.72;[ksoftirqd/7]
48;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[kworker/7:0H]
49;root;rt;0;0;0;0;S;0.0;0.0;6:45.02;[watchdog/8]
50;root;rt;0;0;0;0;S;0.0;0.0;49:22.06;[migration/8]
51;root;20;0;0;0;0;S;0.0;0.0;15:20.24;[ksoftirqd/8]
53;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[kworker/8:0H]
54;root;rt;0;0;0;0;S;0.0;0.0;6:17.70;[watchdog/9]
55;root;rt;0;0;0;0;S;0.0;0.0;47:45.28;[migration/9]
56;root;20;0;0;0;0;S;0.0;0.0;14:45.85;[ksoftirqd/9]
58;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[kworker/9:0H]
59;root;rt;0;0;0;0;S;0.0;0.0;6:03.47;[watchdog/10]
60;root;rt;0;0;0;0;S;0.0;0.0;47:08.40;[migration/10]
61;root;20;0;0;0;0;S;0.0;0.0;14:20.06;[ksoftirqd/10]
63;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[kworker/10:0H]
64;root;rt;0;0;0;0;S;0.0;0.0;5:50.97;[watchdog/11]
65;root;rt;0;0;0;0;S;0.0;0.0;47:44.07;[migration/11]
66;root;20;0;0;0;0;S;0.0;0.0;14:34.84;[ksoftirqd/11]
68;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[kworker/11:0H]
71;root;20;0;0;0;0;S;0.0;0.0;0:00.00;[kdevtmpfs]
72;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[netns]
73;root;20;0;0;0;0;S;0.0;0.0;5:27.38;[khungtaskd]
74;root;0;-20;0;0;0;S;0.0;0.0;0:03.99;[writeback]
75;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[kintegrityd]
76;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[bioset]
77;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[bioset]
78;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[bioset]
79;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[kblockd]
80;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[md]
81;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[edac-poller]
82;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[watchdogd]
88;root;20;0;0;0;0;S;0.0;0.0;164:37.17;[kswapd0]
89;root;20;0;0;0;0;S;0.0;0.0;46:41.31;[kswapd1]
